,scenario,half_hat,K,rel_oracle_time,C_bar_size,num_min_loc,mult,varsigma_deg,upsilon,n,m
217,7,1.0,8.191235059760956,0.09069547154002475,2299,476,2.0,0.0002,20.0,500.0,10000.0
218,8,1.0,8.876494023904382,0.10251858376624187,2311,476,2.0,0.0002,20.0,500.0,10000.0
219,9,1.0,7.908366533864542,0.08424520242401003,2306,476,2.0,0.0002,20.0,500.0,10000.0
220,0,1.0,2.9681274900398407,0.021136468394149205,2316,294,2.0,0.002,20.0,500.0,10000.0
221,1,1.0,4.01593625498008,0.030441386846343926,2294,299,2.0,0.002,20.0,500.0,10000.0
222,2,1.0,2.896414342629482,0.01961953108379174,2297,300,2.0,0.002,20.0,500.0,10000.0
223,3,1.0,3.948207171314741,0.02849026885713553,2305,301,2.0,0.002,20.0,500.0,10000.0
224,4,1.0,3.9402390438247012,0.027567599040542873,2305,309,2.0,0.002,20.0,500.0,10000.0
225,5,1.0,3.0,0.020741126191581277,2284,302,2.0,0.002,20.0,500.0,10000.0
226,6,1.0,4.956175298804781,0.04103120764279059,2305,301,2.0,0.002,20.0,500.0,10000.0
227,7,1.0,6.430278884462151,0.05948596953898726,2303,302,2.0,0.002,20.0,500.0,10000.0
228,8,1.0,7.956175298804781,0.08950013010351035,2317,300,2.0,0.002,20.0,500.0,10000.0
229,9,1.0,5.944223107569721,0.055608128079565666,2306,306,2.0,0.002,20.0,500.0,10000.0
230,0,1.0,2.764940239043825,0.028140775097872845,2304,19,2.0,0.02,20.0,500.0,10000.0
231,1,1.0,2.760956175298805,0.030198780830308598,2321,19,2.0,0.02,20.0,500.0,10000.0
232,2,1.0,5.792828685258964,0.07273618496471367,2303,21,2.0,0.02,20.0,500.0,10000.0
233,3,1.0,3.7211155378486054,0.035644345540750265,2310,21,2.0,0.02,20.0,500.0,10000.0
234,4,1.0,6.231075697211155,0.06914945983449933,2315,25,2.0,0.02,20.0,500.0,10000.0
